User Group, Location, Time, Duration 
u00 u13 u36 u49,in[sudikoff],275,20
u13 u36 u49,in[sudikoff],0,20
u13 u36 u49,in[sudikoff],65,10
u13 u36 u49,in[sudikoff],80,15
u13 u36 u49,in[sudikoff],417,10
u13 u36 u57,in[sudikoff],542,35
u13 u36,in[steele],120,15
u13 u36,in[sudikoff],427,105
u13 u36,in[sudikoff],577,20
u13 u36,in[sudikoff],652,45
u13 u36,in[sudikoff],702,10
u13 u36,in[sudikoff],717,15
u13 u36,in[sudikoff],742,30
u13 u36,in[sudikoff],777,35
u13 u36,in[sudikoff],1194,20
u13 u36,in[sudikoff],1219,50
u13 u36,in[sudikoff],1339,10
u36 u51,in[53_commons],1419,10
