User Group, Location, Time, Duration 
u22 u52,in[kemeny],1349,10
u22 u52,in[kemeny],1364,35
u52 u57,in[north-main],135,15
u52 u57,in[53_commons],175,20
u52 u57,in[north-main],30,15
u52 u57,in[north-main],330,10
u52 u57,in[north-main],345,20
u52 u57,in[north-main],555,10
u52 u57,in[north-main],665,45
u52 u57,in[north-main],715,20
u52 u57,in[north-main],760,15
u52 u57,in[north-main],780,15
u52 u57,in[north-main],805,20
u52 u57,in[north-main],835,45
u52 u57,in[north-main],885,20
u52 u57,in[north-main],910,15
u52 u57,in[north-main],935,40
u52 u57,in[north-main],980,10
u52 u57,in[north-main],995,20
u52 u57,in[north-main],1020,10
u52 u57,in[north-main],1045,50
u52 u57,in[north-main],1100,25
u52 u57,in[north-main],1142,15
